rental_id,bbl
7236931,3051240001
7331920,1001737504
7139224,1013440001
7364827,1008380001
7242151,3018510053
7171210,1018440060
7286986,4014610057
7418503,4005060029
7304773,1010720050
7180240,1013277502
7199509,4012320064
7374106,3023990001
7211146,1020530122
7205032,3032610014
7303381,1021340022
7257553,3016050001
7371094,3018870065
7386616,3066280049
7161667,1014460004
7256881,1018700030
7201810,1004540032
7352875,1011460156
7287667,3031480036
7324255,1018337501
7323214,3017680046
7265221,3026910063
7179904,1010477503
7421611,3032730034
7364581,1008260001
7239721,3002497502
7351903,1002390011
7164979,3030910027
7389550,1014290012
7262875,4005510008
7371415,1015350003
7367173,4001490001
7235236,3012580026
7326532,3029190012
7410124,3059060018
7175173,1015850036
7184137,3020610050
7159567,1021300048
7200025,1000280005
7181437,3014980021
7412260,3011180003
7140403,3003420018
7395718,1010187502
7343419,4052630010
7320955,3059060018
7395505,4005890022
7341928,1013180022
7170238,1006250012
7347454,2045060001
7382386,1021700506
7249885,1011717503
7414300,1010540024
7279090,1000900017
7147204,3058380027
7220263,4006490058
7137427,3003790052
7191532,1005260025
7239130,1008870030
7252690,4005770043
7305112,1011710132
7397647,2032620088
7244281,4006300025
7344901,1020840106
7382026,1019390001
7254490,3003790010
7248922,1008870030
7353118,3016040049
7308130,1006070046
7378009,1007227501
7314175,3028337506
7326499,3061300006
7210456,1010720050
7151521,3067660086
7328593,3027360001
7236883,3010100014
7195981,3026790042
7181947,1019110040
7419415,1014250001
7165456,3027680020
7383331,1006420045
7323484,1003780031
7153825,3028667503
7205380,3076010047
7242331,3025630009
7133134,3019940058
7418464,1019930104
7423156,1015190022
7211044,1001950027
7213555,4007290062
7334731,1021700307
7285741,2057840359
7314721,1014180021
7367617,4008310067
7331053,1010280017
7322611,4006250067
7423579,1018950030
7416625,3010060020
7183054,3018920048
7340149,4021210021
7371136,3056810008
7157605,1010617502
7426936,3024430013
7160587,4007240024
7280734,1012080039
7366231,3033920001
7331536,4037780001
7277710,1014927501
7330510,3059610060
7373005,3013660074
7320787,1004610011
7235665,4035460025
7354066,1011290059
7234915,1006180013
7280350,4006200006
7260340,1014197502
7300306,3016470022
7181605,3023130013
7259629,1009660001
7208527,3004570004
7135345,3031780023
7241947,1007217501
7149808,3070920048
7355338,1013250035
7207225,1004850017
7194709,1006070001
7352932,3028840030
7222852,1011990001
7323106,3050850083
7135606,1000270009
7195360,3010220001
7343749,4006210169
7150582,1011187502
7276876,1009660001
7358887,1008440008
7391542,3015160043
7326664,1008160007
7278895,1005480001
7390633,3002500028
