,expense_per_sqft,gross_income_per_sqft,market_value_per_sqft,neighborhood,bbl
4235,6.32,15.29,60.51,FLUSHING-NORTH,4050260007
4236,8.57,14.89,38.8,FLUSHING-NORTH,4050280007
4237,7.71,15.73,51.24,FLUSHING-NORTH,4050400032
4238,5.29,13.68,54.64,FLUSHING-NORTH,4050420023
4239,5.76,13.0,42.76,FLUSHING-NORTH,4050420057
4240,5.92,14.15,50.29,FLUSHING-NORTH,4050460010
4241,5.49,13.9,51.14,FLUSHING-NORTH,4050480019
4242,6.29,13.23,42.78,FLUSHING-NORTH,4050490001
4243,6.81,13.9,33.64,FLUSHING-NORTH,4050490019
4244,5.51,14.21,52.59,FLUSHING-NORTH,4050490023
4245,5.92,14.15,50.18,FLUSHING-NORTH,4050500020
4246,5.92,14.15,50.69,FLUSHING-NORTH,4050500031
4247,6.02,15.06,56.37,FLUSHING-NORTH,4050510001
4248,6.79,16.18,59.36,FLUSHING-NORTH,4050510020
4249,6.16,14.41,50.32,FLUSHING-NORTH,4051220029
4250,6.08,14.04,52.29,FLUSHING-NORTH,4051220046
4251,5.57,13.98,55.17,FLUSHING-NORTH,4051230051
4252,5.74,14.11,55.08,FLUSHING-NORTH,4051340024
4253,6.8,15.73,56.3,FLUSHING-NORTH,4051340059
4254,5.65,12.75,45.1,FLUSHING-NORTH,4051350044
4255,6.29,13.23,41.96,FLUSHING-NORTH,4051350057
4256,5.2,14.69,57.95,FLUSHING-NORTH,4051360037
4257,5.49,13.9,55.07,FLUSHING-NORTH,4051360050
4258,6.3,15.3,60.73,FLUSHING-NORTH,4051370011
4259,6.79,16.18,64.39,FLUSHING-NORTH,4051370055
4260,6.79,16.18,64.39,FLUSHING-NORTH,4051370067
4261,5.82,14.06,50.23,FLUSHING-NORTH,4051450055
4262,5.49,13.9,52.15,FLUSHING-NORTH,4051450068
4263,5.92,14.15,50.37,FLUSHING-NORTH,4051460027
4264,6.18,14.0,50.14,FLUSHING-NORTH,4051800001
4265,4.63,13.63,58.53,FLUSHING-NORTH,4051800015
4266,4.99,13.01,47.66,FLUSHING-NORTH,4051800022
4267,5.48,13.27,50.2,FLUSHING-NORTH,4051800043
4268,6.25,14.09,51.56,FLUSHING-NORTH,4051810001
4269,6.1,13.48,47.82,FLUSHING-NORTH,4051850043
4270,6.11,13.69,49.36,FLUSHING-NORTH,4051850054
4271,5.36,13.46,52.45,FLUSHING-NORTH,4051850077
4272,5.26,12.84,48.28,FLUSHING-NORTH,4051920001
4273,5.0,12.85,48.99,FLUSHING-NORTH,4051920055
4274,6.2,13.36,46.25,FLUSHING-NORTH,4051930001
4275,5.54,13.58,52.22,FLUSHING-NORTH,4051930009
4276,6.6,14.3,42.87,FLUSHING-NORTH,4052000039
4277,6.1,12.87,34.2,FLUSHING-NORTH,4052600044
4278,5.76,12.49,34.2,FLUSHING-NORTH,4052910040
4279,5.54,13.59,32.44,FLUSHING-NORTH,4052940022
4280,6.11,12.19,37.95,FLUSHING-NORTH,4052990055
4281,5.74,12.32,41.27,FLUSHING-NORTH,4053000001
4282,5.74,12.32,41.25,FLUSHING-NORTH,4053000022
4283,6.28,12.56,39.68,FLUSHING-NORTH,4053010017
4284,5.05,12.76,32.64,FLUSHING-NORTH,4053010033
4285,5.1,11.24,37.17,FLUSHING-NORTH,4053020083
4286,5.87,12.18,39.37,FLUSHING-NORTH,4053020097
4287,7.0,13.94,45.48,FLUSHING-NORTH,4053020117
4288,6.85,13.48,42.94,FLUSHING-NORTH,4053030144
4289,6.97,13.48,42.19,FLUSHING-NORTH,4053030165
4290,6.87,13.39,42.14,FLUSHING-NORTH,4053060001
4291,6.97,13.48,42.17,FLUSHING-NORTH,4053100001
4292,6.89,13.56,43.29,FLUSHING-NORTH,4053110001
4293,6.94,13.39,41.72,FLUSHING-NORTH,4053120001
4294,7.02,13.58,42.61,FLUSHING-NORTH,4053140003
4295,7.2,15.12,51.45,FLUSHING-NORTH,4053150001
4296,7.15,15.16,51.29,FLUSHING-NORTH,4053210001
4297,7.53,16.44,61.37,FLUSHING-NORTH,4053250065
4298,4.52,12.72,52.04,FLUSHING-NORTH,4053280015
4299,4.99,13.01,48.53,FLUSHING-NORTH,4053740016
4300,5.76,13.0,40.63,FLUSHING-NORTH,4053740023
4301,4.7,12.53,49.44,FLUSHING-NORTH,4053740027
4302,6.2,13.36,46.25,FLUSHING-NORTH,4053740038
4303,4.89,12.47,47.78,FLUSHING-NORTH,4053780041
4304,6.62,16.97,71.9,WHITESTONE,4057300001
4305,5.11,12.94,50.0,WHITESTONE,4057400139
4306,5.11,12.94,50.0,WHITESTONE,4057500006
4307,6.09,16.5,71.79,BAYSIDE,4057750023
4308,7.1,14.45,48.73,BAYSIDE,4057780001
4309,6.66,13.93,47.64,BAYSIDE,4057810001
4310,5.11,12.94,50.0,BAYSIDE,4057840001
4311,7.06,14.59,50.08,BAYSIDE,4057870001
4312,7.25,15.51,53.16,BAYSIDE,4058570002
4313,5.11,12.94,50.0,BAYSIDE,4058570050
4314,6.97,14.57,50.52,BAYSIDE,4058570110
4315,6.97,14.57,50.52,BAYSIDE,4058630002
4316,7.53,16.44,53.06,BAYSIDE,4058630035
4317,6.97,14.57,50.51,BAYSIDE,4058630060
4318,6.97,14.57,50.51,BAYSIDE,4058630110
4319,6.06,15.43,63.38,BAYSIDE,4058630200
4320,8.0,17.21,53.22,BAYSIDE,4058650030
4321,7.55,15.12,50.88,BAYSIDE,4058650040
4322,7.14,18.93,84.15,BAYSIDE,4058720002
4323,6.52,17.43,76.32,BAYSIDE,4058780003
4324,6.63,16.48,67.9,BAYSIDE,4058780050
4325,5.47,16.76,78.17,BAYSIDE,4058780075
4326,6.32,15.53,62.42,BAYSIDE,4059000075
4327,6.23,15.2,60.42,BAYSIDE,4059380003
4328,6.21,15.46,62.6,BAYSIDE,4059380005
4329,6.21,15.46,62.6,BAYSIDE,4059380007
4330,6.1,15.29,62.0,BAYSIDE,4059580075
4331,6.32,15.53,62.41,BAYSIDE,4059580100
4332,8.42,18.26,53.1,BAYSIDE,4060800025
4333,8.29,19.1,77.31,BAYSIDE,4060850025
4334,7.35,17.78,73.34,BAYSIDE,4060890025
4335,8.72,18.68,70.91,BAYSIDE,4061030001
4336,8.77,18.77,39.37,BAYSIDE,4061430001
4337,8.77,18.77,53.22,BAYSIDE,4061440001
4338,7.36,16.71,41.96,BAYSIDE,4061490001
4339,6.61,13.39,34.45,BAYSIDE,4061500001
4340,7.36,16.71,52.89,BAYSIDE,4061710001
4341,8.11,17.48,65.6,BAYSIDE,4062050001
4342,5.89,13.82,32.35,BAYSIDE,4062160001
4343,6.24,15.14,59.88,BAYSIDE,4062270088
4344,8.12,17.8,68.06,BAYSIDE,4063050024
4345,7.41,16.98,66.27,BAYSIDE,4063210001
4346,6.45,15.73,63.14,FLUSHING-SOUTH,4065270050
4347,6.45,15.73,50.2,FLUSHING-SOUTH,4065270052
4348,7.67,16.29,59.21,FLUSHING-SOUTH,4066580039
4349,6.81,14.98,42.18,FLUSHING-SOUTH,4066590021
4350,7.67,16.29,41.99,FLUSHING-SOUTH,4066600040
4351,5.89,12.92,41.96,FLUSHING-SOUTH,4066680028
4352,6.91,12.66,36.44,FLUSHING-SOUTH,4066690007
4353,6.91,12.66,36.44,FLUSHING-SOUTH,4066690027
4354,6.88,15.01,42.01,FLUSHING-SOUTH,4066700001
4355,6.88,15.01,41.9,FLUSHING-SOUTH,4066710001
4356,7.67,16.29,59.17,FLUSHING-SOUTH,4066760019
4357,7.67,16.29,59.21,FLUSHING-SOUTH,4066760020
4358,6.88,15.01,37.76,FLUSHING-SOUTH,4066770001
4359,6.88,15.01,34.74,FLUSHING-SOUTH,4066780001
4360,6.87,14.91,51.61,FLUSHING-SOUTH,4066790001
4361,6.87,14.91,41.87,FLUSHING-SOUTH,4066900001
4362,6.45,15.73,49.38,FLUSHING-SOUTH,4066900016
4363,6.31,12.59,39.72,FLUSHING-SOUTH,4066980040
4364,5.62,17.43,35.61,FLUSHING-SOUTH,4067110027
4365,6.84,14.9,53.96,HILLCREST,4067150002
4366,5.66,12.04,24.17,FLUSHING-SOUTH,4067930225
4367,6.41,16.79,65.97,FRESH MEADOWS,4070710003
4368,8.28,18.0,68.55,FRESH MEADOWS,4071170051
4369,6.88,15.01,54.54,FRESH MEADOWS,4071170401
4370,7.36,16.71,64.68,BAYSIDE,4073410012
4371,7.45,16.58,63.03,BAYSIDE,4073420028
4372,7.15,17.12,69.44,BAYSIDE,4073470007
4373,7.15,17.12,69.44,BAYSIDE,4073470020
4374,6.7,14.8,50.35,BAYSIDE,4073480001
4375,6.7,14.8,50.25,BAYSIDE,4073490001
4376,6.47,14.23,51.2,BAYSIDE,4074740050
4377,10.7,21.39,68.59,OAKLAND GARDENS,4076280002
4378,9.4,18.8,67.01,OAKLAND GARDENS,4076290002
4379,10.7,21.39,78.29,OAKLAND GARDENS,4076320002
4380,10.7,21.39,68.64,OAKLAND GARDENS,4076330001
4381,9.72,19.43,68.64,OAKLAND GARDENS,4076360007
4382,9.72,19.43,68.71,OAKLAND GARDENS,4076380012
4383,8.77,21.39,68.59,OAKLAND GARDENS,4076480002
4384,10.7,21.39,50.31,OAKLAND GARDENS,4076560002
4385,10.7,21.39,50.27,OAKLAND GARDENS,4076680010
4386,10.7,21.39,50.3,OAKLAND GARDENS,4076700002
4387,8.25,17.05,61.24,OAKLAND GARDENS,4077320002
4388,8.25,17.0,60.83,OAKLAND GARDENS,4077320150
4389,8.25,17.16,62.1,OAKLAND GARDENS,4077380001
4390,10.7,21.39,66.28,OAKLAND GARDENS,4077390003
4391,10.7,21.39,66.33,OAKLAND GARDENS,4077420003
4392,8.25,17.33,54.4,OAKLAND GARDENS,4077480400
4393,8.25,17.08,53.03,OAKLAND GARDENS,4077480500
4394,10.69,21.39,68.56,OAKLAND GARDENS,4077550003
4395,7.72,17.34,67.2,OAKLAND GARDENS,4077610060
4396,7.21,16.92,67.39,OAKLAND GARDENS,4078400002
4397,7.21,16.92,67.4,OAKLAND GARDENS,4078420033
4398,7.21,16.92,67.39,OAKLAND GARDENS,4078440002
4399,7.21,16.92,67.4,OAKLAND GARDENS,4078470001
4400,7.21,16.92,67.39,OAKLAND GARDENS,4078480001
4401,7.07,15.22,42.37,HOLLIS HILLS,4079120002
4402,6.19,13.43,46.85,HOLLIS HILLS,4079120050
4403,7.52,13.88,33.1,QUEENS VILLAGE,4079140002
4404,6.93,15.71,59.71,QUEENS VILLAGE,4079290002
4405,7.1,15.11,48.59,QUEENS VILLAGE,4079430200
4406,7.07,15.04,53.5,QUEENS VILLAGE,4079450025
4407,5.55,15.02,49.37,QUEENS VILLAGE,4079680031
4408,6.97,14.57,50.51,DOUGLASTON,4080590001
4409,5.24,15.65,65.47,DOUGLASTON,4080920028
4410,6.88,16.32,64.9,DOUGLASTON,4081000002
4411,6.07,13.34,46.93,DOUGLASTON,4081070024
4412,8.5,18.47,65.52,DOUGLASTON,4081780008
4413,8.25,18.13,69.82,LITTLE NECK,4082560108
4414,7.28,17.12,49.38,LITTLE NECK,4082630147
4415,10.03,20.05,69.81,DOUGLASTON,4083050010
4416,10.0,20.0,66.34,LITTLE NECK,4083370001
4417,10.0,20.0,66.3,LITTLE NECK,4083490036
4418,10.0,20.0,66.31,LITTLE NECK,4083530001
4419,10.0,20.0,66.35,LITTLE NECK,4083590006
4420,10.0,20.0,66.25,LITTLE NECK,4083630001
4421,10.0,20.0,66.31,LITTLE NECK,4083670002
4422,10.0,20.0,66.18,LITTLE NECK,4083730002
4423,10.0,20.0,66.14,LITTLE NECK,4083740056
4424,8.61,17.22,60.05,GLEN OAKS,4084010096
4425,10.0,20.0,73.2,GLEN OAKS,4084010350
4426,10.0,20.0,66.22,GLEN OAKS,4084010675
4427,10.0,20.0,73.2,GLEN OAKS,4084400001
4428,10.0,20.0,73.2,GLEN OAKS,4084410001
4429,10.0,20.0,73.2,GLEN OAKS,4084420001
4430,10.0,20.0,48.59,GLEN OAKS,4084430001
4431,10.0,20.0,73.2,GLEN OAKS,4084460001
4432,10.0,20.0,66.21,GLEN OAKS,4084470001
4433,10.0,20.0,66.27,GLEN OAKS,4084480001
4434,10.0,20.0,66.28,GLEN OAKS,4084490001
4435,10.0,20.0,73.23,GLEN OAKS,4084500001
4436,7.8,21.19,80.04,GLEN OAKS,4084890001
4437,10.0,20.0,73.21,GLEN OAKS,4084900002
4438,10.0,20.0,66.22,GLEN OAKS,4084920002
4439,10.0,20.0,69.41,GLEN OAKS,4084960002
4440,10.0,20.0,66.39,GLEN OAKS,4085100031
4441,10.0,20.0,69.75,GLEN OAKS,4085110002
4442,10.0,20.0,66.37,GLEN OAKS,4085130020
4443,10.0,20.0,73.2,GLEN OAKS,4085150002
4444,10.0,20.0,73.2,GLEN OAKS,4085170002
4445,10.0,20.0,73.03,GLEN OAKS,4085350002
4446,7.51,16.09,58.77,FLORAL PARK,4087430102
4447,7.21,16.92,66.19,FLORAL PARK,4087450001
4448,7.21,16.92,66.22,FLORAL PARK,4087620001
4449,7.21,16.92,66.43,FLORAL PARK,4087640001
4450,6.59,13.45,44.43,WOODHAVEN,4089290106
4451,5.02,13.05,35.59,RICHMOND HILL,4091860049
4452,5.02,13.05,35.62,RICHMOND HILL,4092040009
4453,5.99,13.49,35.62,KEW GARDENS,4092090049
4454,5.2,12.05,35.47,KEW GARDENS,4092090055
4455,5.26,12.18,43.09,KEW GARDENS,4092310063
4456,5.41,16.21,74.11,KEW GARDENS,4092340044
4457,5.96,12.74,35.67,KEW GARDENS,4092460305
4458,7.02,16.73,67.2,KEW GARDENS,4092490040
4459,6.18,12.14,35.79,KEW GARDENS,4092650001
4460,7.09,16.89,59.02,KEW GARDENS,4092660001
4461,5.85,17.28,79.79,KEW GARDENS,4096290001
4462,5.11,16.67,79.91,KEW GARDENS,4096310232
4463,5.85,17.28,79.79,BRIARWOOD,4096480024
4464,5.62,17.43,82.61,BRIARWOOD,4096600015
4465,6.35,15.09,58.74,BRIARWOOD,4096650001
4466,5.78,16.2,71.49,BRIARWOOD,4096660001
4467,5.34,12.85,47.81,BRIARWOOD,4097110020
4468,6.35,15.09,58.73,BRIARWOOD,4097110032
4469,7.42,16.98,42.26,BRIARWOOD,4097110125
4470,7.78,17.2,50.03,BRIARWOOD,4097120169
4471,5.59,14.63,40.7,BRIARWOOD,4097130102
4472,5.68,17.01,40.62,BRIARWOOD,4097130113
4473,5.68,17.01,40.86,BRIARWOOD,4097130163
4474,7.02,16.73,67.19,BRIARWOOD,4097140018
4475,7.73,16.74,62.35,BRIARWOOD,4097140075
4476,5.81,12.93,41.24,BRIARWOOD,4097140138
4477,7.02,16.73,67.2,BRIARWOOD,4097140152
4478,5.34,12.85,47.84,BRIARWOOD,4097150102
4479,4.78,12.44,41.05,BRIARWOOD,4097150220
4480,6.54,14.22,42.95,BRIARWOOD,4097150228
4481,5.81,12.93,41.29,BRIARWOOD,4097160102
4482,6.35,15.09,58.74,BRIARWOOD,4097180002
4483,6.35,15.09,49.36,BRIARWOOD,4097360108
4484,6.35,15.09,58.73,BRIARWOOD,4097380114
4485,5.31,15.12,42.55,BRIARWOOD,4097400142
4486,4.97,12.03,41.38,JAMAICA,4097550050
4487,6.38,13.68,44.65,JAMAICA,4097580006
4488,5.32,13.04,49.43,JAMAICA,4097580021
4489,6.8,14.06,41.9,JAMAICA,4098030024
4490,4.43,12.93,41.65,JAMAICA,4098070073
4491,6.19,14.84,40.91,JAMAICA,4098240043
4492,6.19,14.84,57.83,JAMAICA,4098290048
4493,6.71,15.8,49.05,JAMAICA,4098300035
4494,6.71,15.8,50.41,JAMAICA,4098340041
4495,4.9,13.21,53.45,JAMAICA,4098370080
4496,6.72,15.72,53.49,JAMAICA,4098380089
4497,5.92,12.75,42.45,JAMAICA,4098420076
4498,6.36,12.48,38.58,JAMAICA,4098430019
4499,6.8,14.06,47.71,JAMAICA,4098450027
4500,6.03,12.81,43.15,JAMAICA HILLS,4098590088
4501,6.03,13.99,42.94,JAMAICA HILLS,4098600040
4502,5.74,13.59,42.89,JAMAICA ESTATES,4098840043
4503,6.19,14.84,51.84,HOLLIS,4099130059
4504,5.42,13.37,51.37,HOLLIS,4099170013
4505,7.03,14.97,50.58,JAMAICA ESTATES,4099440001
4506,5.21,14.82,64.22,JAMAICA ESTATES,4099510011
4507,7.3,17.59,72.15,JAMAICA ESTATES,4099540049
4508,6.14,14.15,47.34,SOUTH JAMAICA,4102620006
4509,6.54,13.92,48.35,SOUTH JAMAICA,4102640091
4510,8.36,17.04,47.88,HOLLISWOOD,4105240001
4511,6.94,15.26,53.19,HOLLISWOOD,4105240150
4512,6.55,14.02,45.98,HOLLISWOOD,4105350010
4513,6.71,14.64,47.87,HOLLISWOOD,4105350050
4514,5.88,13.71,51.02,HOLLISWOOD,4105380010
4515,5.42,13.37,47.87,HOLLISWOOD,4105380070
4516,6.89,15.74,60.21,QUEENS VILLAGE,4106820001
4517,7.1,15.11,53.83,QUEENS VILLAGE,4106820053
4518,7.1,15.11,53.83,QUEENS VILLAGE,4106820065
4519,5.52,12.82,46.45,HOWARD BEACH,4114210013
4520,6.19,13.95,50.86,HOWARD BEACH,4114310036
4521,6.03,12.81,41.09,HOWARD BEACH,4114340007
4522,6.03,12.81,41.37,HOWARD BEACH,4114340025
4523,6.03,12.81,41.37,HOWARD BEACH,4114340050
4524,4.35,13.29,46.87,HOWARD BEACH,4114340075
4525,6.03,12.81,41.37,HOWARD BEACH,4114340100
4526,6.03,12.81,41.27,HOWARD BEACH,4114460012
4527,6.03,12.81,41.27,HOWARD BEACH,4114460050
4528,5.52,12.82,41.41,HOWARD BEACH,4114510009
4529,4.55,11.25,40.56,HOWARD BEACH,4114510050
4530,4.12,11.26,41.52,HOWARD BEACH,4114590001
4531,4.12,11.26,40.82,HOWARD BEACH,4114610002
4532,5.25,11.48,38.02,HOWARD BEACH,4114610050
4533,4.12,11.26,43.23,HOWARD BEACH,4114640001
4534,4.64,11.55,41.64,HOWARD BEACH,4114660001
4535,5.25,11.48,38.03,HOWARD BEACH,4114660025
4536,6.03,12.81,43.14,SO. JAMAICA-BAISLEY PARK,4122350002
4537,7.58,16.14,58.67,SPRINGFIELD GARDENS,4124830030
4538,8.47,14.12,37.17,SPRINGFIELD GARDENS,4124950002
4539,7.17,14.79,41.88,LAURELTON,4129430119
4540,6.45,13.14,41.93,LAURELTON,4129440036
4541,6.45,13.14,41.93,LAURELTON,4129450002
4542,7.31,14.62,42.11,LAURELTON,4129740023
4543,8.15,15.09,42.32,FAR ROCKAWAY,4155070007
4544,6.93,13.59,43.27,FAR ROCKAWAY,4155550018
4545,6.03,13.42,47.81,FAR ROCKAWAY,4155740048
4546,5.23,14.02,57.71,FAR ROCKAWAY,4156270001
4547,5.17,11.84,41.21,FAR ROCKAWAY,4157140082
4548,8.14,14.8,44.5,ARVERNE,4158950050
4549,8.71,14.51,38.53,HAMMELS,4161280001
4550,8.71,14.51,38.53,HAMMELS,4161290001
4551,8.71,14.51,38.53,HAMMELS,4161300001
4552,8.76,14.6,38.84,HAMMELS,4161310001
4553,6.31,12.74,40.83,ROCKAWAY PARK,4161550021
4554,8.71,14.51,38.53,ROCKAWAY PARK,4161750001
4555,8.92,14.87,39.79,BELLE HARBOR,4162240001
4556,5.47,10.72,28.9,ROCKAWAY PARK,4162260062
4557,6.29,12.34,37.95,ROCKAWAY PARK,4162270037
4558,4.35,10.61,38.53,ROCKAWAY PARK,4162280041
4559,5.78,12.04,38.91,ROCKAWAY PARK,4162300039
4560,5.94,12.37,40.44,ROCKAWAY PARK,4162300044
4561,5.42,11.53,37.61,ROCKAWAY PARK,4162310044
4562,6.29,13.39,45.88,BELLE HARBOR,4162340044
4563,6.16,12.09,34.4,NEW BRIGHTON-ST. GEORGE,5000010250
4564,7.23,11.27,24.47,NEW BRIGHTON,5000180099
4565,5.5,11.67,22.11,WEST NEW BRIGHTON,5001010525
4566,5.5,11.67,37.89,WEST NEW BRIGHTON,5001010537
4567,5.5,11.67,32.33,WEST NEW BRIGHTON,5001010554
4568,9.22,15.89,41.59,WEST NEW BRIGHTON,5001310056
4569,9.21,15.87,55.27,LIVINGSTON,5001380119
4570,7.06,13.72,34.24,CLOVE LAKES,5003270015
4571,7.06,13.72,34.24,CLOVE LAKES,5003270060
4572,6.95,14.79,42.73,GRYMES HILL,5005930680
4573,7.29,14.88,50.78,CONCORD-FOX HILLS,5029250432
4574,7.29,14.88,50.77,CONCORD-FOX HILLS,5029250450
4575,6.95,14.79,52.36,CONCORD-FOX HILLS,5029250479
4576,5.0,11.12,34.25,DONGAN HILLS,5031910061
4577,5.1,8.8,21.35,GRANT CITY,5035460001
4578,9.46,14.33,22.2,GRANT CITY,5035460031
4579,8.31,13.4,31.03,GREAT KILLS,5046400022
4580,8.85,14.81,39.25,GREAT KILLS-BAY TERRACE,5050900035
4581,6.64,13.56,31.36,GREAT KILLS,5052290007
4633,10.09,21.17,81.68,LOWER EAST SIDE,1003310120
4646,7.78,12.3,28.5,LOWER EAST SIDE,1003480053
4650,7.92,20.51,92.17,LOWER EAST SIDE,1003510001
4738,6.28,19.8,93.84,EAST VILLAGE,1004310025
4755,12.95,40.52,209.91,EAST VILLAGE,1004490015
4765,5.75,15.11,63.3,EAST VILLAGE,1004590046
4767,10.9,42.21,238.46,EAST VILLAGE,1004649048
4821,12.18,37.96,196.32,SOHO,1005150004
4841,12.99,38.73,196.07,SOHO,1005200085
4934,15.26,34.97,150.0,GREENWICH VILLAGE-CENTRAL,1005740010
5234,10.74,35.39,187.78,FASHION,1008390063
5249,10.67,32.06,162.92,FLATIRON,1008500057
5253,12.08,34.68,172.08,MURRAY HILL,1008580032
5263,12.25,35.95,180.46,MURRAY HILL,1008680028
5343,11.21,39.71,217.04,GRAMERCY,1008970069
5396,11.01,36.75,196.02,MIDTOWN WEST,1010070054
5397,11.6,33.47,166.46,MIDTOWN WEST,1010090018
5400,10.82,31.74,159.29,MIDTOWN WEST,1010100061
5434,11.5,36.9,193.47,MIDTOWN WEST,1010460023
5486,9.78,28.3,102.29,CLINTON,1010830035
5570,10.04,26.81,127.69,UPPER WEST SIDE (59-79),1011630001
5576,10.38,27.55,130.71,UPPER WEST SIDE (59-79),1011660006
5578,8.09,34.06,197.77,UPPER WEST SIDE (59-79),1011660058
5583,7.51,28.95,163.25,UPPER WEST SIDE (59-79),1011670064
5594,10.39,27.4,129.57,UPPER WEST SIDE (59-79),1011830037
5610,10.36,35.92,194.64,UPPER WEST SIDE (59-79),1011860016
5615,9.75,25.83,122.44,UPPER WEST SIDE (59-79),1011860059
5619,8.81,34.6,174.26,UPPER WEST SIDE (59-79),1011860095
5624,9.29,28.22,144.15,UPPER WEST SIDE (79-96),1011950029
5626,9.02,31.24,169.2,UPPER WEST SIDE (79-96),1011950054
5629,10.43,30.05,149.4,UPPER WEST SIDE (79-96),1011960029
5652,10.74,30.21,148.26,UPPER WEST SIDE (79-96),1012050034
5656,11.33,25.13,104.65,UPPER WEST SIDE (79-96),1012060042
5663,8.74,21.23,92.14,UPPER WEST SIDE (79-96),1012080052
5683,9.17,27.52,108.46,UPPER WEST SIDE (79-96),1012110061
5688,9.71,28.7,118.18,UPPER WEST SIDE (79-96),1012140001
5689,10.28,30.32,152.63,UPPER WEST SIDE (79-96),1012150035
5691,9.36,28.38,88.18,UPPER WEST SIDE (79-96),1012150061
5694,9.46,24.74,115.66,UPPER WEST SIDE (79-96),1012170006
5695,10.18,26.04,120.8,UPPER WEST SIDE (79-96),1012170011
5701,6.49,28.99,171.35,UPPER WEST SIDE (79-96),1012190057
5702,6.5,28.98,171.19,UPPER WEST SIDE (79-96),1012190059
5709,11.11,23.63,76.29,UPPER WEST SIDE (79-96),1012240058
5723,10.12,29.18,129.28,UPPER WEST SIDE (79-96),1012310032
5733,6.75,20.36,99.46,UPPER WEST SIDE (79-96),1012360001
5736,9.52,25.07,117.87,UPPER WEST SIDE (79-96),1012370001
5737,8.32,18.46,72.54,UPPER WEST SIDE (79-96),1012370005
5740,9.82,23.53,102.96,UPPER WEST SIDE (79-96),1012370061
5743,9.54,28.09,140.45,UPPER WEST SIDE (79-96),1012390056
5759,12.45,40.69,214.98,UPPER WEST SIDE (79-96),1012450013
5760,10.8,31.08,154.5,UPPER WEST SIDE (79-96),1012450014
5761,10.8,31.09,154.5,UPPER WEST SIDE (79-96),1012450015
5762,10.54,30.33,150.75,UPPER WEST SIDE (79-96),1012450016
5770,6.44,25.64,146.06,UPPER WEST SIDE (79-96),1012450059
5779,10.21,30.8,156.8,UPPER WEST SIDE (79-96),1012470022
5781,9.89,26.21,124.25,UPPER WEST SIDE (79-96),1012470040
5782,9.95,26.34,124.86,UPPER WEST SIDE (79-96),1012470043
5785,10.3,27.78,133.13,UPPER WEST SIDE (79-96),1012470057
5800,9.81,27.09,131.57,UPPER WEST SIDE (79-96),1012500040
5801,9.82,27.07,131.37,UPPER WEST SIDE (79-96),1012500047
5803,10.32,30.27,152.02,UPPER WEST SIDE (79-96),1012500089
5812,8.85,21.21,91.08,UPPER WEST SIDE (79-96),1012510062
5817,9.15,24.11,112.73,UPPER WEST SIDE (79-96),1012520041
5818,9.15,24.12,112.83,UPPER WEST SIDE (79-96),1012520044
5819,8.26,19.89,84.6,UPPER WEST SIDE (79-96),1012520050
5822,10.0,25.82,120.47,UPPER WEST SIDE (79-96),1012520075
5824,10.19,29.01,143.36,UPPER WEST SIDE (79-96),1012530090
5825,8.39,29.94,164.1,MIDTOWN WEST,1012700008
5826,18.31,43.51,191.93,MIDTOWN WEST,1012700017
5828,9.58,28.59,144.79,MIDTOWN WEST,1012710021
5829,9.13,26.03,128.7,MIDTOWN WEST,1012740057
5830,10.82,32.06,161.76,MIDTOWN CBD,1012930037
5836,11.02,37.85,204.31,MIDTOWN CBD,1013090069
5863,10.12,33.29,176.44,MIDTOWN EAST,1013330018
5898,11.84,30.3,140.57,MIDTOWN EAST,1013490032
5902,9.07,26.37,131.78,MIDTOWN EAST,1013500011
5907,11.84,30.41,141.46,MIDTOWN EAST,1013510017
5916,10.74,31.07,154.87,MIDTOWN EAST,1013620038
5918,10.75,31.17,155.53,MIDTOWN EAST,1013630008
5919,10.55,30.69,153.36,MIDTOWN EAST,1013630012
5920,10.73,31.04,154.7,MIDTOWN EAST,1013630016
5924,10.43,26.69,123.81,MIDTOWN EAST,1013630031
5925,10.44,26.72,123.92,MIDTOWN EAST,1013630037
5926,9.5,28.26,142.86,MIDTOWN EAST,1013630040
5927,10.43,29.65,146.36,MIDTOWN EAST,1013630043
5934,10.4,30.47,152.84,MIDTOWN EAST,1013670020
5936,10.18,26.94,127.66,MIDTOWN EAST,1013670031
5943,8.07,26.36,139.3,MIDTOWN EAST,1013680039
5947,10.16,26.79,126.7,MIDTOWN EAST,1013690012
5948,9.82,31.17,162.58,MIDTOWN EAST,1013690016
5951,12.32,33.34,160.07,MIDTOWN EAST,1013690026
5953,13.51,39.93,201.23,MIDTOWN EAST,1013690031
5954,13.27,34.28,159.95,MIDTOWN EAST,1013690033
5956,10.53,30.98,155.71,MIDTOWN EAST,1013700021
5959,10.36,32.13,165.78,MIDTOWN EAST,1013710038
5960,10.99,31.16,153.6,MIDTOWN EAST,1013720002
5962,8.46,32.17,180.55,MIDTOWN EAST,1013720073
5983,10.85,32.26,163.02,UPPER EAST SIDE (59-79),1013800069
5984,9.24,30.35,160.76,UPPER EAST SIDE (59-79),1013810001
5986,10.81,32.26,163.33,UPPER EAST SIDE (59-79),1013810035
5987,7.93,37.28,223.5,UPPER EAST SIDE (59-79),1013810038
5989,10.75,31.3,156.49,UPPER EAST SIDE (59-79),1013820001
5992,11.67,41.48,227.0,UPPER EAST SIDE (59-79),1013820069
