,expense_per_sqft,gross_income_per_sqft,market_value_per_sqft,neighborhood,bbl
109,12.07,30.94,142.5,ALPHABET CITY,1003890021
110,8.38,34.43,196.67,ALPHABET CITY,1003890030
111,11.27,34.63,176.4,ALPHABET CITY,1003890054
112,7.68,22.3,107.84,ALPHABET CITY,1003900009
113,6.09,18.43,57.4,ALPHABET CITY,1003900037
114,9.23,23.41,76.5,ALPHABET CITY,1003900042
115,9.31,24.44,113.35,ALPHABET CITY,1003900055
116,7.64,26.03,138.85,ALPHABET CITY,1003910003
117,6.09,18.43,57.42,ALPHABET CITY,1003910014
118,6.35,24.4,76.52,ALPHABET CITY,1003910020
119,9.19,24.7,76.59,ALPHABET CITY,1003910021
120,9.64,28.34,141.21,ALPHABET CITY,1003910048
121,9.22,36.08,202.82,ALPHABET CITY,1003910056
122,10.7,31.48,156.9,ALPHABET CITY,1003910057
123,11.18,35.51,183.71,ALPHABET CITY,1003920036
124,6.09,18.43,87.53,ALPHABET CITY,1003930051
125,9.28,29.56,153.14,ALPHABET CITY,1003940052
126,8.5,20.74,89.03,ALPHABET CITY,1003950012
127,10.18,26.78,125.33,ALPHABET CITY,1003960020
128,6.09,18.43,87.51,ALPHABET CITY,1003970011
129,8.91,19.99,80.0,ALPHABET CITY,1003970012
130,9.19,24.7,95.24,ALPHABET CITY,1003970025
131,8.17,27.38,145.03,ALPHABET CITY,1003980008
132,8.71,34.13,110.67,ALPHABET CITY,1003980058
133,10.12,29.77,148.35,ALPHABET CITY,1003980066
134,9.23,23.41,101.48,ALPHABET CITY,1004000045
135,9.23,23.41,101.61,ALPHABET CITY,1004000047
136,10.69,36.86,197.53,ALPHABET CITY,1004010057
137,9.19,24.7,116.44,ALPHABET CITY,1004040010
138,11.93,35.74,179.78,ALPHABET CITY,1004040013
139,6.35,24.4,88.38,ALPHABET CITY,1004040021
140,9.23,23.41,76.62,ALPHABET CITY,1004050051
141,7.35,22.52,64.31,ALPHABET CITY,1004060013
142,11.44,33.66,167.8,ALPHABET CITY,1004060018
143,6.09,18.43,63.34,ALPHABET CITY,1004060040
144,9.19,24.7,59.17,ALPHABET CITY,1004060050
145,10.83,37.51,201.49,ALPHABET CITY,1004060061
146,7.09,16.88,67.91,LOWER EAST SIDE,1004140032
147,8.91,19.99,80.03,LOWER EAST SIDE,1004160020
148,7.09,16.88,67.89,LOWER EAST SIDE,1004160022
149,12.97,34.83,165.1,LOWER EAST SIDE,1004160055
150,5.94,13.13,46.16,LOWER EAST SIDE,1004190040
151,6.57,15.35,59.33,LOWER EAST SIDE,1004200046
152,7.09,16.88,67.89,LOWER EAST SIDE,1004210043
153,7.09,16.88,67.88,LOWER EAST SIDE,1004210075
154,7.09,16.88,67.95,LOWER EAST SIDE,1004220044
155,9.78,24.55,110.71,LOWER EAST SIDE,1004220060
156,11.17,31.15,59.6,EAST VILLAGE,1004300001
157,10.63,31.28,66.76,EAST VILLAGE,1004310001
158,8.51,25.45,127.63,EAST VILLAGE,1004310031
159,8.33,29.23,97.78,EAST VILLAGE,1004320001
160,13.03,33.96,158.02,EAST VILLAGE,1004340044
161,11.2,32.38,159.93,EAST VILLAGE,1004360057
162,7.64,21.97,80.19,EAST VILLAGE,1004400031
163,7.09,16.88,67.9,EAST VILLAGE,1004400052
164,11.14,32.78,163.36,EAST VILLAGE,1004420013
165,11.73,30.94,145.02,EAST VILLAGE,1004430030
166,11.46,30.34,142.52,EAST VILLAGE,1004430050
167,10.62,33.27,171.04,EAST VILLAGE,1004430052
168,9.27,30.1,157.27,EAST VILLAGE,1004430056
169,12.88,34.48,163.03,EAST VILLAGE,1004440033
170,14.58,34.03,146.84,EAST VILLAGE,1004450051
171,14.38,36.88,169.83,EAST VILLAGE,1004460025
172,10.14,32.79,170.97,EAST VILLAGE,1004470024
173,11.81,34.73,173.04,EAST VILLAGE,1004490002
174,6.38,24.87,92.37,EAST VILLAGE,1004510021
175,14.66,38.35,178.86,EAST VILLAGE,1004520006
176,10.08,29.74,148.42,EAST VILLAGE,1004520019
177,10.3,30.31,108.81,EAST VILLAGE,1004520042
178,6.87,28.55,163.68,EAST VILLAGE,1004520054
179,11.01,33.6,170.55,EAST VILLAGE,1004540060
180,9.71,27.04,130.84,EAST VILLAGE,1004540063
181,9.61,30.02,154.06,EAST VILLAGE,1004540066
182,6.09,18.43,82.71,EAST VILLAGE,1004580032
183,9.3,30.4,159.3,EAST VILLAGE,1004610024
184,14.04,34.54,154.76,EAST VILLAGE,1004660021
185,10.61,34.82,182.77,EAST VILLAGE,1004660047
186,10.43,30.66,152.74,EAST VILLAGE,1004660048
187,7.09,32.7,193.33,EAST VILLAGE,1004660056
188,9.2,36.79,208.3,EAST VILLAGE,1004670022
189,7.09,32.7,193.34,EAST VILLAGE,1004680015
190,10.77,31.67,157.82,EAST VILLAGE,1004680024
191,11.61,34.91,175.96,EAST VILLAGE,1004680048
192,7.56,31.29,179.15,EAST VILLAGE,1004690025
193,10.36,28.94,140.27,SOHO,1004730051
194,12.7,45.37,246.65,SOHO,1004740029
195,10.36,34.52,182.44,SOHO,1004750007
196,6.26,24.4,135.88,SOHO,1004750028
197,7.24,29.8,168.98,SOHO,1004750046
198,10.12,36.11,196.24,SOHO,1004820001
199,11.25,39.06,209.97,SOHO,1004820003
200,7.22,14.73,50.08,SOHO,1004820022
201,10.17,37.84,208.91,SOHO,1004830013
202,10.76,37.49,201.82,SOHO,1004840001
203,8.5,30.09,163.01,SOHO,1004840026
204,10.52,35.95,192.0,SOHO,1004850014
205,10.12,25.84,118.67,SOHO,1004850021
206,10.07,29.61,147.53,SOHO,1004850022
207,10.86,31.95,159.24,SOHO,1004850025
208,8.68,27.82,144.51,SOHO,1004860009
209,10.85,34.07,175.31,SOHO,1004870001
210,10.36,34.52,182.4,SOHO,1004890008
211,10.52,35.06,185.3,SOHO,1004890037
212,7.09,16.88,67.87,LITTLE ITALY,1004940032
213,6.46,14.67,54.63,LITTLE ITALY,1004940033
214,10.98,33.0,166.25,LITTLE ITALY,1004950002
215,10.79,31.7,157.87,SOHO,1004970007
216,7.24,29.8,170.32,SOHO,1004980005
217,10.33,39.01,216.52,SOHO,1004980015
218,8.45,33.72,190.79,SOHO,1004980018
219,12.59,36.74,182.34,SOHO,1005000005
220,10.87,38.8,210.88,SOHO,1005010012
221,8.45,33.72,190.79,SOHO,1005010028
222,10.36,34.52,182.43,SOHO,1005020012
223,11.25,39.06,209.97,SOHO,1005020038
224,8.54,34.01,192.32,SOHO,1005030027
225,10.76,36.22,192.23,SOHO,1005030028
226,10.45,36.04,193.2,SOHO,1005040014
227,11.51,37.73,197.99,SOHO,1005040039
228,10.19,31.85,163.53,SOHO,1005060027
229,6.97,23.24,120.87,LITTLE ITALY,1005070018
